Måned,Helsingør,CPH Lufthavn,Malmø
10/14,94.2,89.2,87.2
09/14,90.0,84.9,82.0
08/14,90.4,81.9,77.9
07/14,95.8,89.8,84.9
06/14,95.8,89.8,84.9
05/14,93.7,89.0,85.5
04/14,96.1,90.3,87.9
03/14,96.8,93.6,92.2
02/14,96.0,93.1,92.0
01/14,94.6,91.5,90.0
12/13,95.1,93.3,91.4
11/13,95.1,91.9,90.4
10/13,94.0,91.4,89.0
09/13,95.4,91.7,90.8
08/13,93.6,88.3,87.5
07/13,91.9,88.5,85.5
06/13,92.6,87.4,86.1
05/13,92.7,88.3,86.1
04/13,94.8,91.9,90.8
03/13,96.1,93.1,91.8
02/13,95.1,92.0,91.4
01/13,95.0,92.2,91.9
12/12,90.8,88.6,87.2
11/12,93.1,91.3,91.9
10/12,90.3,85.8,85.4
09/12,98.0,93.7,93.8
08/12,96.2,89.1,91.0
07/12,95.0,87.5,88.5
06/12,93.5,87.1,87.3
05/12,93.2,90.8,88.4
04/12,94.9,92.0,90.0
03/12,95.2,92.2,92.0
02/12,91.8,88.0,86.8
01/12,95.0,92.6,89.7
12/11,93.3,89.7,86.1
11/11,91.0,84.9,82.8
10/11,88.4,82.6,81.4
09/11,91.7,83.9,81.6
08/11,90.9,83.5,82.1
07/11,83.5,78.5,77.7
06/11,86.9,79.8,79.4
05/11,87.1,80.8,79.3
04/11,89.3,83.9,81.9
03/11,88.2,82.4,77.8
02/11,87.6,82.9,79.8
01/11,83.4,79.2,71.8
12/10,71.4,66.9,54.7
11/10,88.5,86.3,78.4
10/10,92.4,90.3,84.9
09/10,88.4,84.9,78.0
08/10,80.2,80.9,73.9
07/10,85.9,81.7,77.0
06/10,87.8,83.4,81.1
05/10,89.0,88.2,85.2
04/10,92.0,90.8,88.1
03/10,91.6,90.1,86.7
02/10,82.3,78.7,73.8
01/10,85.2,84.4,80.2
12/09,85.3,83.2,77.4
11/09,87.2,87.6,83.0
10/09,84.8,85.2,81.4
09/09,86.1,86.8,82.9
08/09,86.7,86.9,83.9
07/09,80.5,79.8,72.9
06/09,86.1,86.9,82.9
05/09,89.4,90.1,88.1
04/09,86.7,85.9,82.9
03/09,89.2,87.8,84.8
02/09,85.9,86.4,84.6
01/09,85.6,83.4,81.8
