Year,BE,DK,DE,IE,FR,IT,LU,NL,UK,EL,ES,PT,SE,AT,FI,CZ,EE,CY,LT,LV,HU,MT,PL,SI,SK,BG,RO
1979,91.36,47.82,65.73,63.61,60.71,85.65,88.91,58.12,32.35,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,81.48,,,,,,,,,,,,,,,,,
1984,92.09,52.38,56.76,47.56,56.72,82.47,88.79,50.88,32.57,80.59,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,68.52,72.42,,,,,,,,,,,,,,,,
1989,90.73,46.17,62.28,68.28,48.80,81.07,87.39,47.48,36.37,80.03,54.71,51.10,,,,,,,,,,,,,,,
1994,90.66,52.92,60.02,43.98,52.71,73.6,88.55,35.69,36.43,73.18,59.14,35.54,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,41.63,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,67.76,57.60,,,,,,,,,,,,,
1999,91.05,50.46,45.19,50.21,46.76,69.76,87.27,30.02,24.00,70.25,63.05,39.93,38.84,49.4,30.14,,,,,,,,,,,,
2004,90.81,47.89,43.00,58.58,42.76,71.72,91.35,39.26,38.52,63.22,45.14,38.60,37.85,42.43,39.43,28.30,26.83,72.50,48.38,41.34,38.50,82.39,20.87,28.35,16.97,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,29.22,29.47
2009,90.39,59.54,43.30,58.64,40.63,65.05,90.75,36.75,34.70,52.61,44.90,36.78,45.53,45.97,40.30,28.20,43.90,59.40,20.98,53.70,36.31,78.79,24.53,28.33,19.64,38.99,27.67
